Field,ID,Type (类型),default,zh-cn,en-us,,,,,,,
Feature3,702,文本,,适配不同屏幕分辨率,Adaptive to different screen resolutions.,,,,,,,
Feature4,703,文本,,充满bug！,Full of bugs!,,,,,,,
Feature5,704,文本,,,,,,,,,,
Feature6,705,文本,,,,,,,,,,
Feature7,706,文本,,,,,,,,,,
Feature8,707,文本,,,,,,,,,,
Feature9,708,文本,,,,,,,,,,
Feature10,709,文本,,,,,,,,,,
Feature11,710,文本,,,,,,,,,,
Feature12,711,文本,,,,,,,,,,
Feature13,712,文本,,,,,,,,,,
Feature14,713,文本,,,,,,,,,,
Feature15,714,文本,,,,,,,,,,
Feature16,715,文本,,,,,,,,,,
Feature17,716,文本,,,,,,,,,,
Feature18,717,文本,,,,,,,,,,
Feature19,718,文本,,,,,,,,,,
Feature20,719,文本,,,,,,,,,,
MinimumHardwareReq1,800,文本,,,,,,,,,,
MinimumHardwareReq2,801,文本,,,,,,,,,,
MinimumHardwareReq3,802,文本,,,,,,,,,,
MinimumHardwareReq4,803,文本,,,,,,,,,,
MinimumHardwareReq5,804,文本,,,,,,,,,,
MinimumHardwareReq6,805,文本,,,,,,,,,,
MinimumHardwareReq7,806,文本,,,,,,,,,,
MinimumHardwareReq8,807,文本,,,,,,,,,,
MinimumHardwareReq9,808,文本,,,,,,,,,,
MinimumHardwareReq10,809,文本,,,,,,,,,,
MinimumHardwareReq11,810,文本,,,,,,,,,,
RecommendedHardwareReq1,850,文本,,,,,,,,,,
RecommendedHardwareReq2,851,文本,,,,,,,,,,
RecommendedHardwareReq3,852,文本,,,,,,,,,,
RecommendedHardwareReq4,853,文本,,,,,,,,,,
RecommendedHardwareReq5,854,文本,,,,,,,,,,
RecommendedHardwareReq6,855,文本,,,,,,,,,,
RecommendedHardwareReq7,856,文本,,,,,,,,,,
RecommendedHardwareReq8,857,文本,,,,,,,,,,
RecommendedHardwareReq9,858,文本,,,,,,,,,,
RecommendedHardwareReq10,859,文本,,,,,,,,,,
RecommendedHardwareReq11,860,文本,,,,,,,,,,
SearchTerm1,900,文本,,音乐,Music,,,,,,,
SearchTerm2,901,文本,,播放器,Player,,,,,,,
SearchTerm3,902,文本,,,,,,,,,,
SearchTerm4,903,文本,,,,,,,,,,
SearchTerm5,904,文本,,,,,,,,,,
SearchTerm6,905,文本,,,,,,,,,,
SearchTerm7,906,文本,,,,,,,,,,
TrailerToPlayAtTopOfListing,999,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer1,1000,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer2,1001,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer3,1002,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer4,1003,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer5,1004,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer6,1005,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer7,1006,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer8,1007,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer9,1008,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer10,1009,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer11,1010,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer12,1011,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer13,1012,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer14,1013,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
Trailer15,1014,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerTitle1,1020,文本,,,,,,,,,,
TrailerTitle2,1021,文本,,,,,,,,,,
TrailerTitle3,1022,文本,,,,,,,,,,
TrailerTitle4,1023,文本,,,,,,,,,,
TrailerTitle5,1024,文本,,,,,,,,,,
TrailerTitle6,1025,文本,,,,,,,,,,
TrailerTitle7,1026,文本,,,,,,,,,,
TrailerTitle8,1027,文本,,,,,,,,,,
TrailerTitle9,1028,文本,,,,,,,,,,
TrailerTitle10,1029,文本,,,,,,,,,,
TrailerTitle11,1030,文本,,,,,,,,,,
TrailerTitle12,1031,文本,,,,,,,,,,
TrailerTitle13,1032,文本,,,,,,,,,,
TrailerTitle14,1033,文本,,,,,,,,,,
TrailerTitle15,1034,文本,,,,,,,,,,
TrailerThumbnail1,1040,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail2,1041,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail3,1042,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail4,1043,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail5,1044,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail6,1045,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail7,1046,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail8,1047,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail9,1048,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail10,1049,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail11,1050,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail12,1051,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail13,1052,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail14,1053,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
TrailerThumbnail15,1054,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
